Vitrage;BRANCHE;BAT_TYPE;PERIODE_SIMPLE;REPART_FEN;REPART_FENMUR;REPART_ENS
Vitré3Ancien;Bureaux Administration;immeuble peri urbain;Av 1980;0,1678571429;0,235;1
Vitré3Ancien;Bureaux Administration;immeuble peri urbain;1981-1998;0,1678571429;0,235;1
Vitré3Récent;Bureaux Administration;immeuble peri urbain;1999-2008;0,1482738095;0,2685714286;1
Vitré6Ancien;Bureaux Administration;immeuble rénové;Av 1980;0,258;0,44;1
Vitré6Ancien;Bureaux Administration;immeuble rénové;1981-1998;0,258;0,44;1
Vitré6Récent;Bureaux Administration;immeuble rénové;1999-2008;0,29952;0,4992;1
Vitré3Ancien;Bureaux Administration;immeuble résidentiel;Av 1980;0,1678571429;0,235;1
Vitré3Ancien;Bureaux Administration;immeuble résidentiel;1981-1998;0,1678571429;0,235;1
Vitré3Récent;Bureaux Administration;immeuble résidentiel;1999-2008;0,1482738095;0,2685714286;1
Vitré12Ancien;Bureaux Administration;plateau large bureau paysagés;Av 1980;0,6;0,84;1
Vitré12Ancien;Bureaux Administration;plateau large bureau paysagés;1981-1998;0,6;0,84;1
Vitré12Récent;Bureaux Administration;plateau large bureau paysagés;1999-2008;0,53;0,96;1
Vitré12Ancien;Bureaux Administration;plateau large bureaux cloisonnés;Av 1980;0,6;0,84;1
Vitré12Ancien;Bureaux Administration;plateau large bureaux cloisonnés;1981-1998;0,6;0,84;1
Vitré12Récent;Bureaux Administration;plateau large bureaux cloisonnés;1999-2008;0,53;0,96;1
Vitré12Ancien;Bureaux Administration;plateau mince;Av 1980;0,6;0,84;1
Vitré12Ancien;Bureaux Administration;plateau mince;1981-1998;0,6;0,84;1
Vitré12Récent;Bureaux Administration;plateau mince;1999-2008;0,53;0,96;1
Vitré3Ancien;Café Hôtel Restaurant;Grand bar café tabac;Av 1980;0,1678571429;0,235;1
Vitré3Ancien;Café Hôtel Restaurant;Grand bar café tabac;1981-1998;0,1678571429;0,235;1
Vitré3Récent;Café Hôtel Restaurant;Grand bar café tabac;1999-2008;0,1482738095;0,2685714286;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;1981-1998;0,258;0,44;1
Vitré6Récent;Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;1999-2008;0,29952;0,4992;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;1981-1998;0,258;0,44;1
Vitré6Récent;Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;1999-2008;0,29952;0,4992;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;1981-1998;0,258;0,44;1
Vitré6Récent;Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;1999-2008;0,29952;0,4992;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;1981-1998;0,258;0,44;1
Vitré6Récent;Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;1999-2008;0,29952;0,4992;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;1981-1998;0,258;0,44;1
Vitré6Récent;Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;1999-2008;0,29952;0,4992;1
Vitré6Ancien;Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Av 1980;0,258;0,44;1
Vitré3Ancien;Café Hôtel Restaurant;Grand restaurant rapide;Av 1980;0,1678571429;0,235;1
Vitré3Ancien;Café Hôtel Restaurant;Grand restaurant rapide;1981-1998;0,1678571429;0,235;1
Vitré3Récent;Café Hôtel Restaurant;Grand restaurant rapide;1999-2008;0,1482738095;0,2685714286;1
Vitré3Ancien;Café Hôtel Restaurant;Grand restaurant traditionnel;Av 1980;0,1678571429;0,235;1
Vitré3Ancien;Café Hôtel Restaurant;Grand restaurant traditionnel;1981-1998;0,1678571429;0,235;1
Vitré3Récent;Café Hôtel Restaurant;Grand restaurant traditionnel;1999-2008;0,1482738095;0,2685714286;1
Vitré3Ancien;Café Hôtel Restaurant;Grande cantine;Av 1980;0,1678571429;0,235;1
Vitré3Ancien;Café Hôtel Restaurant;Grande cantine;1981-1998;0,1678571429;0,235;1
Vitré3Récent;Café Hôtel Restaurant;Grande cantine;1999-2008;0,1482738095;0,2685714286;1
Vitré6Ancien;Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Av 1980;0,258;0,44;1
Vitré6Ancien;Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;1981-1998;0,258;0,44;1
Vitré6Récent;Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;1999-2008;0,29952;0,4992;1
